id,release_date,movie,production_budget,domestic_gross,worldwide_gross
1,18-Dec-09,Avatar,425000000,760507625,2776345279
2,20-May-11,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875
3,7-Jun-19,Dark Phoenix,350000000,42762350,149762350
4,1-May-15,Avengers: Age of Ultron,330600000,459005868,1403013963
5,15-Dec-17,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747
6,18-Dec-15,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2053311220
7,27-Apr-18,Avengers: Infinity War,300000000,678815482,2048134200
8,24-May-07,Pirates of the Caribbean: At Worldâs End,300000000,309420425,963420425
9,17-Nov-17,Justice League,300000000,229024295,655945209
10,6-Nov-15,Spectre,300000000,200074175,879620923
11,20-Jul-12,The Dark Knight Rises,275000000,448139099,1084439099
12,25-May-18,Solo: A Star Wars Story,275000000,213767512,393151347
13,2-Jul-13,The Lone Ranger,275000000,89302115,260002115
14,9-Mar-12,John Carter,275000000,73058679,282778100
15,24-Nov-10,Tangled,260000000,200821936,586477240
16,4-May-07,Spider-Man 3,258000000,336530303,894860230
17,6-May-16,Captain America: Civil War,250000000,408084349,1140069413
18,25-Mar-16,Batman v Superman: Dawn of Justice,250000000,330360194,867500281
19,14-Dec-12,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568
20,15-Jul-09,Harry Potter and the Half-Blood Prince,250000000,302089278,935213767
21,13-Dec-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855
22,17-Dec-14,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621
23,14-Apr-17,The Fate of the Furious,250000000,225764765,1234846267
24,28-Jun-06,Superman Returns,232000000,200120000,374085065
25,26-May-17,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137
26,14-Nov-08,Quantum of Solace,230000000,169368427,591692078
27,4-May-12,The Avengers,225000000,623279547,1517935897
28,7-Jul-06,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,1066215812
29,14-Jun-13,Man of Steel,225000000,291045518,667999518
30,16-May-08,The Chronicles of Narnia: Prince Caspian,225000000,141621490,417341288
31,3-Jul-12,The Amazing Spider-Man,220000000,262030663,757890267
32,18-May-12,Battleship,220000000,65233400,313477717
33,21-Jun-17,Transformers: The Last Knight,217000000,130168683,602893340
34,12-Jun-15,Jurassic World,215000000,652270625,1648854864
35,25-May-12,Men in Black 3,215000000,179020854,654213485
36,24-Jun-09,Transformers: Revenge of the Fallen,210000000,402111870,836519699
37,27-Jun-14,Transformers: Age of Extinction,210000000,245439076,1104039076
38,26-May-06,X-Men: The Last Stand,210000000,234362462,459260946
39,14-May-10,Robin Hood,210000000,105487148,322459006
40,14-Dec-05,King Kong,207000000,218080025,550517357
41,7-Dec-07,The Golden Compass,205000000,70107728,367262558
42,16-Feb-18,Black Panther,200000000,700059566,1348258224
43,19-Dec-97,Titanic,200000000,659363944,2208208395
44,15-Jun-18,Incredibles 2,200000000,608581744,1242520711
45,16-Dec-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856
46,17-Jun-16,Finding Dory,200000000,486295561,1021215193
47,18-Jun-10,Toy Story 3,200000000,415004880,1068879522
48,3-May-13,Iron Man 3,200000000,408992272,1215392272
49,5-May-17,Guardians of the Galaxy Vol 2,200000000,389813101,862316233
50,30-Jun-04,Spider-Man 2,200000000,373524485,795110670
51,5-Mar-10,Alice in Wonderland,200000000,334191110,1025491110
52,8-Nov-12,Skyfall,200000000,304360277,1110526981
53,21-Jun-13,Monsters University,200000000,268488329,743588329
54,8-Mar-13,Oz the Great and Powerful,200000000,234770996,490359051
55,23-May-14,X-Men: Days of Future Past,200000000,233921534,747862775
56,2-May-14,The Amazing Spider-Man 2,200000000,202853933,708996336
57,24-Jun-11,Cars 2,200000000,191450875,560155383
58,17-Dec-10,Tron: Legacy,200000000,172062763,400062763
59,13-Nov-09,2012,200000000,166112167,757677748
60,16-Nov-18,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086
61,21-May-09,Terminator Salvation,200000000,125322469,365491792
62,17-Jun-11,Green Lantern,200000000,116601172,219535492
63,28-May-10,Prince of Persia: Sands of Time,200000000,90759676,336359676
64,29-Jun-11,Transformers: Dark of the Moon,195000000,352390543,1123790543
65,9-Jun-17,The Mummy,195000000,80101125,409953905
66,1-Mar-13,Jack the Giant Slayer,195000000,65187603,197687603
67,3-Apr-15,Furious 7,190000000,353007020,1518722794
68,16-May-13,Star Trek Into Darkness,190000000,228778661,467381584
69,21-Jun-13,World War Z,190000000,202359711,531514650
70,10-May-13,The Great Gatsby,190000000,144840419,351040419
71,6-Nov-09,Disneyâs A Christmas Carol,190000000,137855863,315709697
72,12-Jul-13,Pacific Rim,190000000,101802906,411002906
73,25-Nov-15,The Good Dinosaur,187500000,123087120,333771037
74,2-May-08,Iron Man,186000000,318604126,585171547
75,18-Jul-08,The Dark Knight,185000000,533720947,1001996207
76,22-May-08,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413
77,22-Jun-12,Brave,185000000,237282182,554606532
78,10-Mar-17,Kong: Skull Island,185000000,168052812,561072059
79,22-Jul-16,Star Trek Beyond,185000000,158848340,335802233
80,6-Oct-17,Blade Runner 2049,185000000,92054159,259357408
81,24-May-19,Aladdin,182000000,246734314,619234314
82,3-Nov-17,Thor: Ragnarok,180000000,315058289,846980024
83,9-Dec-05,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,291710957,720539572
84,30-May-14,Maleficent,180000000,241407328,758536735
85,18-Nov-16,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853
86,27-Jun-08,WALL-E,180000000,223808164,532508025
87,10-Aug-07,Rush Hour 3,180000000,140125968,256585882
88,1-Jul-16,The Legend of Tarzan,180000000,126643061,348902025
89,23-Nov-11,Hugo,180000000,73864507,180047784
90,21-Jul-17,Valerian and the City of a Thousand Planets,180000000,40479370,215098356
91,6-Feb-15,Jupiter Ascending,179000000,47482519,181982519
92,27-Jul-18,Mission: ImpossibleâFallout,178000000,220159104,787456552
93,27-May-16,X-Men: Apocalypse,178000000,155442489,542537546
94,10-Aug-18,The Meg,178000000,145443742,529530715
95,6-Jun-14,Edge of Tomorrow,178000000,100206256,370541256
96,8-Mar-19,Captain Marvel,175000000,426525952,1123061550
97,15-Apr-16,The Jungle Book,175000000,364001123,962854547
98,19-Jun-15,Inside Out,175000000,356461711,854235992
99,7-Jul-17,Spider-Man: Homecoming,175000000,334201140,880166350
100,5-Aug-16,Suicide Squad,175000000,325100054,746059887
1,29-May-09,Up,175000000,293004164,731463377
2,22-Nov-17,Coco,175000000,209726015,798008101
3,21-Nov-18,Ralph Breaks The Internet,175000000,201091711,524283695
4,27-Mar-09,Monsters vs. Aliens,175000000,198351526,381687380
5,16-Jun-17,Cars 3,175000000,152901115,383541369
6,7-Aug-09,G.I. Joe: The Rise of Cobra,175000000,150201498,302469017
7,30-Jun-99,Wild Wild West,175000000,113805681,221229335
8,1-Aug-08,The Mummy: Tomb of the Dragon Emperor,175000000,102491776,405760225
9,22-Jun-07,Evan Almighty,175000000,100289690,174131329
10,28-Jul-95,Waterworld,175000000,88246220,264246220
11,12-May-17,King Arthur: Legend of the Sword,175000000,39175066,139630336
12,25-Dec-13,47 Ronin,175000000,38362475,151716815
13,22-Jun-18,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799
14,1-Aug-14,Guardians of the Galaxy,170000000,333172112,770867516
15,7-May-10,Iron Man 2,170000000,312433331,621156389
16,4-Apr-14,Captain America: The Winter Soldier,170000000,259746958,714401889
17,11-Jul-14,Dawn of the Planet of the Apes,170000000,208545589,710644566
18,10-Nov-04,The Polar Express,170000000,187224605,311365187
19,1-Jun-12,Snow White and the Huntsman,170000000,155136755,401021746
20,1-Jul-03,Terminator 3: Rise of the Machines,170000000,150358296,433058296
21,7-May-04,Van Helsing,170000000,120150546,300150546
22,29-Mar-19,Dumbo,170000000,113883318,345004422
23,22-May-15,Tomorrowland,170000000,93436322,206627518
24,14-Feb-19,Alita: Battle Angel,170000000,85710210,402976036
25,31-May-19,Godzilla: King of the Monsters,170000000,85576941,299276941
26,27-May-16,Alice Through the Looking Glass,170000000,77042381,276928112
27,21-May-10,Shrek Forever After,165000000,238736787,756244673
28,4-Nov-16,Doctor Strange,165000000,232641920,676404566
29,7-Nov-14,Big Hero 6,165000000,222527828,652127828
30,26-Mar-10,How to Train Your Dragon,165000000,217581232,494870992
31,2-Nov-12,Wreck-It Ralph,165000000,189412677,496511521
32,5-Nov-14,Interstellar,165000000,188017894,666379375
33,24-Jun-16,Independence Day: Resurgence,165000000,103144286,384169424
34,29-Jul-11,Cowboys and Aliens,163000000,100368560,176038324
35,17-Mar-17,Beauty and the Beast,160000000,504014165,1259199706
36,21-Dec-18,Aquaman,160000000,335061807,1146894640
37,17-May-07,Shrek the Third,160000000,322719944,807330936
38,16-Jul-10,Inception,160000000,292576195,835524642
39,20-Nov-15,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787
40,24-May-13,Fast and Furious 6,160000000,238679850,789300444
41,16-May-14,Godzilla,160000000,200676069,529076069
42,3-Jun-11,X-Men: First Class,160000000,146408305,355408305
43,25-Dec-08,The Curious Case of Benjamin Button,160000000,127509326,329631958
44,14-Jul-10,The Sorcerer's Apprentice,160000000,63150991,217986320
45,12-May-06,Poseidon,160000000,60674817,181674817
46,10-Jun-16,Warcraft,160000000,47225655,425522281
47,30-Sep-16,Deepwater Horizon,156000000,61433527,122603824
48,10-Dec-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950
49,1-Jul-15,Terminator: Genisys,155000000,89760956,432150894
50,23-Mar-18,Pacific Rim: Uprising,155000000,59874525,290930148
51,24-Nov-04,Alexander,155000000,34297191,167297191
52,14-Jul-17,War for the Planet of the Apes,152000000,146880162,489592267
53,25-May-01,Pearl Harbor,151500000,198539855,449239855
54,2-Jul-07,Transformers,151000000,319246193,708272592
55,2-Jun-17,Wonder Woman,150000000,412563408,821133378
56,22-Nov-13,Frozen,150000000,400738009,1272469910
57,4-Mar-16,Zootopia,150000000,341268248,1019429616
58,11-Jul-07,Harry Potter and the Order of the Phoenix,150000000,292137260,943076457
59,18-Nov-05,Harry Potter and the Goblet of Fire,150000000,290201752,897099794
60,15-May-03,The Matrix Reloaded,150000000,281553689,738576929
61,14-Dec-07,I am Legend,150000000,256393010,585532684
62,23-Nov-16,Moana,150000000,248757044,637517365
63,1-Jul-08,Hancock,150000000,227946274,624234272
64,15-Jul-05,Charlie and the Chocolate Factory,150000000,206459076,475825484
65,29-Jun-07,Ratatouille,150000000,206445654,626549695
66,8-Nov-13,Thor: The Dark World,150000000,206362140,644602516
67,15-Jun-05,Batman Begins,150000000,205343774,359142722
68,31-Jul-15,Mission: ImpossibleâRogue Nation,150000000,195042377,688858992
69,21-Jul-17,Dunkirk,150000000,190068280,499837368
70,6-May-11,Thor,150000000,181030624,449326618
71,7-Nov-08,Madagascar: Escape 2 Africa,150000000,180174880,599680774
72,1-May-09,X-Men Origins: Wolverine,150000000,179883157,374825760
73,22-May-09,Night at the Museum: Battle of the Smithsonian,150000000,177243721,402231063
74,26-May-11,Kung Fu Panda 2,150000000,165249063,664837547
